verbose,min_data_in_leaf,objective,metric,num_leaves,boosting,n_estimators,tree_learner,max_bin,min_data_in_bin,max_depth,learning_rate,bagging_fraction,feature_fraction,lambda_l1,lambda_l2,n_jobs,seed,bagging_freq,is_unbalance,early_stopping_rounds,device_type,roc_auc
-1,77,binary,auc,20,gbdt,100,serial,87,20,50,1.0,1.0,0.9312492128064747,923.2361544075145,1000.0,-1,100,99,True,543,cpu,0.5
-1,17,binary,auc,20,rf,1875,serial,20,15,39,1.0,0.8346603418255178,1.0,290.0910879797285,1000.0,-1,100,99,False,197,cpu,0.5
-1,100,binary,auc,55,gbdt,974,data,20,20,50,0.749895888687473,1.0,1.0,165.0943435648964,1000.0,-1,100,39,False,555,cpu,0.5
-1,20,binary,auc,99,rf,1169,voting,20,15,50,0.5315463411899131,1.0,0.4339983203044897,591.019372469874,239.9280462971327,-1,100,99,True,1000,cpu,0.5
-1,5,binary,auc,74,rf,2000,voting,958,20,37,0.5488888273750466,1.0,0.1,0.0,655.8948468258436,-1,100,1,False,993,cpu,0.9963969865705863
-1,34,binary,auc,67,rf,2000,voting,854,20,27,0.06677623885234713,1.0,0.1,0.0,740.9635544614658,-1,49,70,False,101,cpu,0.9957418932197838
-1,20,binary,auc,100,gbdt,1068,voting,830,20,2,0.0001,1.0,0.1,907.2891668358956,1000.0,-1,100,99,False,1,cpu,0.5
-1,69,binary,auc,98,gbdt,1919,voting,1000,20,32,0.0001,1.0,0.722783963899078,0.0,1000.0,-1,94,84,False,1,cpu,0.8809367834916476
-1,100,binary,auc,20,gbdt,2000,data,352,6,0,0.0001,1.0,0.7188835442231168,0.0,1000.0,-1,100,74,False,1,cpu,0.8855224369472652
-1,100,binary,auc,20,gbdt,1917,voting,20,10,27,0.0001,1.0,1.0,369.37062111911234,529.8517530744361,-1,100,99,True,1,cpu,0.5
-1,100,binary,auc,20,gbdt,2000,serial,41,1,50,0.2184069242731912,0.4341556749764741,0.1805053714542756,0.0,843.7929670003379,-1,100,8,False,466,cpu,0.998689813298395
-1,31,binary,auc,20,gbdt,281,data,790,5,47,1.0,0.1,0.1,207.2894071316529,505.4004332469945,-1,37,88,True,1,cpu,0.5
-1,45,binary,auc,20,gbdt,100,data,477,2,50,1.0,0.8811905771420817,0.1,628.67364149893,292.97444593246587,-1,84,53,True,1,cpu,0.5
-1,100,binary,auc,20,gbdt,1554,data,1000,11,37,1.0,0.1,0.5743020242661137,912.8726726469956,0.0,-1,93,0,True,1,cpu,0.5
-1,73,binary,auc,20,gbdt,2000,voting,1000,20,20,1.0,0.1,0.8347448990617777,0.0,616.1966094275256,-1,100,21,True,227,cpu,0.5
-1,5,binary,auc,22,rf,2000,voting,301,20,0,1.0,0.38808209819152817,0.10399950794186441,764.0631341026185,1000.0,-1,1,97,False,1,cpu,0.5
-1,54,binary,auc,57,gbdt,112,voting,20,20,20,1.0,0.263994394626953,0.7218298755933656,550.1518699081576,1000.0,-1,98,99,True,239,cpu,0.5
-1,75,binary,auc,100,gbdt,100,voting,20,20,0,0.6316136546251772,0.5275367391836115,1.0,571.7340897561501,1000.0,-1,9,17,True,1,cpu,0.5
-1,57,binary,auc,78,gbdt,100,voting,46,8,4,0.5341835193455093,0.4921355299796767,0.8516467950419092,276.95038181690614,806.0970948167578,-1,74,0,True,322,cpu,0.5
-1,77,binary,auc,20,rf,1832,voting,192,2,10,0.0001,0.7781291943841091,1.0,484.97360738647035,835.8238245015397,-1,100,37,True,777,cpu,0.5
-1,100,binary,auc,62,rf,2000,voting,20,1,0,0.0001,0.6435538024296089,0.4301020740207049,1000.0,1000.0,-1,23,0,True,354,cpu,0.5
-1,8,binary,auc,94,gbdt,2000,data,20,1,3,0.0001,0.1,0.3183149050375689,1000.0,1000.0,-1,30,9,False,41,cpu,0.5
-1,5,binary,auc,100,gbdt,758,voting,20,3,31,0.18692117171143152,0.24421737666574575,0.9502624208379207,891.5469905115667,763.6648979024801,-1,0,0,False,1,cpu,0.5
-1,5,binary,auc,100,gbdt,1281,feature,141,7,45,0.525846287758093,0.3005206229114463,1.0,1000.0,1000.0,-1,21,75,False,1,cpu,0.5
-1,25,binary,auc,100,gbdt,1178,serial,20,1,50,1.0,0.7307799064605439,0.989382315115398,669.3968025581712,1000.0,-1,98,99,False,210,cpu,0.5
-1,57,binary,auc,100,rf,1236,feature,20,1,50,0.37984834244774934,0.9139595457616604,1.0,895.8397831936047,828.4285436150399,-1,35,78,False,463,cpu,0.5
-1,63,binary,auc,100,gbdt,100,serial,85,10,50,0.542028644480285,0.731906213277372,1.0,1000.0,827.9119357000325,-1,91,66,False,1000,cpu,0.5
-1,100,binary,auc,23,gbdt,171,serial,20,18,50,0.1862727762388724,0.7237716861608913,0.8009067586927114,507.8804166202082,219.53690208092178,-1,100,42,True,640,cpu,0.5
-1,100,binary,auc,20,gbdt,2000,serial,436,20,50,0.6762552504544819,0.6913727607249256,0.1,0.0,497.0006269808199,-1,28,99,True,819,cpu,0.9983622666229938
-1,100,binary,auc,20,gbdt,2000,data,20,13,50,0.11090656090517104,1.0,0.19755110625388708,0.0,1000.0,-1,2,99,True,1000,cpu,0.9970520799213888
-1,31,binary,auc,89,gbdt,2000,serial,699,1,50,0.12729136841386024,1.0,0.1,0.0,809.2084487428033,-1,90,99,True,1000,cpu,0.9983622666229939
-1,74,binary,auc,100,gbdt,2000,serial,572,1,11,0.7653293553411442,1.0,0.170306084430943,0.0,976.637690869093,-1,50,99,False,1000,cpu,0.99737962659679
-1,5,binary,auc,83,rf,2000,serial,951,1,27,1.0,1.0,0.1,217.92722809281372,1000.0,-1,100,21,False,409,cpu,0.5
-1,11,binary,auc,100,rf,2000,serial,1000,1,9,1.0,1.0,0.15715987433577674,999.8813573664906,441.6213353402478,-1,17,51,False,1000,cpu,0.5
-1,5,binary,auc,100,gbdt,1776,serial,847,13,0,1.0,1.0,0.1,1000.0,0.0,-1,82,0,False,1000,cpu,0.5
-1,53,binary,auc,100,gbdt,2000,feature,873,3,0,1.0,0.19640300079366502,0.32374385150425766,9.358690481886129,203.63385036290737,-1,27,5,True,951,cpu,0.9980347199475926
-1,100,binary,auc,100,gbdt,1183,serial,1000,20,14,0.5247162916205048,0.750762367891787,0.49928432629380426,319.067242596405,49.124213353718176,-1,39,38,True,1000,cpu,0.5
